LGTD,LTTD,DRP
117.773116,40.993868,0.0
117.790688,41.116949,0.0
117.791626,41.035870,0.0
117.773889,40.956944,46.0
117.881076,40.893417,0.0
117.818558,40.856108,0.0
117.728669,40.929943,0.0
117.705556,40.935833,39.5
117.814213,41.113110,0.0
117.779167,40.913333,60.0
117.827222,40.897778,41.5
117.695833,41.001389,0.0
117.779722,40.946111,0.0
118.115278,40.838056,13.5
118.344167,40.479722,20.5
118.413511,40.464121,10.5
118.415303,40.417446,0.0
118.379782,40.478164,18.0
118.427604,40.535501,10.0
118.315236,40.447188,13.0
118.683289,40.658261,0.0
118.283175,40.484947,21.0
118.641563,40.707450,0.0
118.580953,40.688566,0.0
118.564961,40.368332,0.0
118.561394,40.295619,0.0
118.627991,40.514394,0.0
118.281549,40.609328,0.0
118.166507,40.395306,52.0
118.196242,40.270152,10.0
118.156060,40.389300,43.5
118.449989,40.230708,12.5
118.175021,40.356090,0.0
118.242460,40.394943,21.0
118.266510,40.335658,16.5
118.513365,40.296800,8.0
118.247945,40.313721,16.5
118.473505,40.328131,9.0
118.216984,40.293875,14.0
118.429161,40.214246,11.5
118.574890,40.219046,12.5
118.346342,40.142420,21.5
118.181110,40.299172,13.5
118.248997,40.259460,6.5
118.348663,40.184205,13.5
118.262279,40.253253,0.0
118.343044,40.354667,10.0
118.215873,40.245516,11.5
118.208180,40.329033,18.5
118.202691,40.247274,10.5
118.387715,40.241764,12.5
118.248625,40.230336,0.0
118.213904,40.423099,29.5
118.246878,40.218700,13.5
118.177800,40.408132,43.0
118.264565,40.223594,0.0
118.211174,40.366031,28.0
118.265539,40.204512,0.0
118.161367,40.389647,48.5
118.201317,40.200113,14.0
118.208441,40.350654,23.5
118.227994,40.199531,0.0
118.141790,40.349144,31.0
118.274550,40.189416,11.5
118.199418,40.339931,20.0
118.196100,40.295795,14.5
118.186501,40.243877,11.5
118.494791,40.255620,11.5
118.523864,40.292824,11.0
118.538302,40.399270,15.0
118.530095,40.226063,9.5
118.383331,40.414035,13.5
118.442611,40.359518,12.0
118.312105,40.383817,16.0
118.474090,40.393004,10.5
118.352902,40.379020,12.0
118.529349,40.364330,11.5
118.323953,40.326694,14.0
118.453751,40.299923,13.5
118.229741,40.288377,13.5
118.496186,40.347340,11.5
118.295715,40.269590,14.5
118.392456,40.404568,11.5
118.515147,40.190100,9.0
118.339954,40.371561,14.2
118.524947,40.150397,11.5
118.321466,40.363900,15.5
118.345103,40.142231,0.0
118.303269,40.144060,17.4
118.431754,40.137062,18.5
118.461331,40.111844,13.5
118.274638,40.087129,13.0
118.323943,40.222526,9.0
118.237210,40.078550,22.5
118.193612,40.163397,24.5
118.269177,40.131048,27.0
118.464569,40.085375,16.0
118.474582,40.064872,18.0
118.476853,40.395297,10.0
118.490994,40.376425,13.0
118.495535,40.338299,0.0
118.399645,40.294563,10.0
118.365799,40.282467,10.5
118.442569,40.268455,11.5
118.339960,40.253733,20.0
118.342320,40.229345,13.5
118.385513,40.211921,11.0
118.416710,40.215850,14.0
118.407500,40.167873,10.5
118.509518,40.275856,10.0
118.483693,40.216392,1.5
118.549454,40.262529,5.0
118.597801,40.245440,0.5
118.533596,40.228094,10.5
118.521866,40.218485,8.0
118.548843,40.189318,10.5
118.230658,40.150702,0.0
118.340073,40.157328,0.0
118.235657,40.158820,0.0
118.210959,40.179972,0.0
118.150535,40.361179,0.0
118.130107,40.355734,0.0
118.194652,40.330581,0.0
118.172979,40.334343,0.0
118.357236,40.314287,0.0
118.390700,40.351818,0.0
118.381999,40.362896,0.0
118.307079,40.319244,0.0
118.616631,40.220683,8.0
118.643356,40.232140,5.0
118.655797,40.195323,7.5
118.663117,40.181578,7.5
118.601028,40.215072,9.0
118.611667,40.200472,12.0
118.636375,40.205108,6.5
118.679070,40.199380,3.5
118.586333,40.147819,0.0
118.606995,40.162590,11.5
118.686258,40.197103,6.5
118.611844,40.135267,15.5
118.697131,40.180286,8.5
118.810472,40.017944,10.0
118.547189,40.127414,18.5
118.555800,40.097075,0.0
118.610136,40.094661,15.5
118.568853,40.125331,16.5
118.573586,40.110872,16.0
118.582272,40.130597,17.0
118.638469,40.114008,15.5
118.748942,40.119922,8.5
118.749542,40.093913,11.0
118.797345,40.105820,4.0
118.703419,40.017173,13.5
118.643580,40.102261,16.0
118.705308,39.960998,13.5
118.623186,40.101744,0.0
118.671914,40.031789,0.0
118.673042,39.992942,0.0
118.742339,39.966325,0.0
118.658306,40.098531,8.0
118.796618,40.054534,10.0
118.725972,39.912056,15.0
118.697334,39.939220,16.5
118.770680,39.934147,12.0
118.828278,39.935506,10.0
118.687406,40.165281,9.0
118.722778,40.180833,0.0
118.722496,40.191580,6.0
118.845768,40.151278,6.5
119.353683,39.907923,2.6
119.444297,39.879222,1.6
119.262027,40.162396,1.8
119.297438,40.145193,1.4
119.329158,40.136388,1.2
119.220518,40.076032,4.6
119.347680,40.024300,2.8
119.063153,39.908520,5.0
119.013042,39.970418,7.4
119.063145,40.037507,5.2
119.127607,40.000647,5.4
119.144251,40.099849,6.8
119.162149,40.048800,4.2
119.237795,39.891601,3.0
119.277917,39.770286,5.0
119.050339,39.845230,6.8
119.092598,39.731514,8.0
119.011276,39.768814,8.8
119.195564,39.747650,9.8
119.158333,39.700700,7.8
118.958786,39.729580,17.2
118.983986,39.667725,8.6
119.131243,39.608030,6.8
119.103804,39.624678,9.0
119.154628,39.531647,5.6
118.895564,39.422033,9.4
118.987665,39.352350,8.2
118.862373,39.326881,11.4
118.796197,39.412946,9.2
118.822783,39.279452,3.4
118.816806,39.507972,13.8
118.650375,39.661968,23.0
118.654108,39.518333,14.2
118.582856,39.438213,10.0
118.642694,39.392306,7.2
118.622056,39.279250,2.2
118.628924,39.764634,21.8
118.605889,39.709056,32.8
118.575278,39.656028,13.6
118.557806,39.545389,8.6
118.532000,39.496639,13.8
118.441864,39.279613,2.6
118.407947,39.374786,3.0
118.389199,39.217092,1.2
118.345920,39.305942,3.6
118.279000,39.439083,0.0
118.317889,39.053417,4.0
118.321843,39.448735,5.8
118.527789,40.093023,17.0
118.620297,40.020133,10.4
118.645943,39.928404,11.4
118.564567,39.863933,0.0
118.566278,39.863972,15.2
118.668757,39.876016,13.8
118.459981,39.675750,12.0
118.459991,39.657060,7.2
118.356605,39.584044,8.4
118.478966,39.886801,12.2
118.431497,39.870163,20.2
118.371720,39.837883,34.8
118.377444,39.905194,22.0
118.334583,39.835944,29.8
118.261805,39.984836,25.2
118.326229,39.945078,23.8
118.265056,39.911750,30.0
118.158526,39.737675,11.6
118.434806,39.760000,15.2
118.091781,39.377350,6.0
118.094575,39.299897,4.6
118.060139,39.283917,7.6
118.528084,40.092587,17.0
118.536583,40.086909,14.5
118.562717,40.064167,12.5
118.539128,40.076094,15.0
118.570961,40.050597,13.5
118.530300,40.044000,12.5
118.506969,40.017453,10.0
118.468222,39.978411,14.5
118.458761,39.988800,2.0
118.512543,39.997649,14.0
118.555300,40.006660,1.5
118.517500,39.940320,19.5
118.518200,39.964800,12.5
118.567696,39.933056,14.5
118.509457,39.909812,22.0
118.473111,39.929172,18.0
118.534243,39.888612,22.0
118.448338,39.879975,17.5
118.602100,39.893993,18.5
118.133523,39.816568,0.0
118.254366,39.954638,28.0
118.265204,39.900683,0.0
118.264534,39.888050,29.8
118.257908,39.920861,0.0
118.198435,39.942670,38.8
118.234477,39.963536,0.0
118.224530,39.889280,15.0
118.191700,39.872746,12.5
118.206259,39.851046,13.2
118.264131,39.841627,0.0
118.401222,39.956236,17.5
118.371332,39.936622,0.0
118.367448,39.912722,0.0
118.387060,39.935161,7.0
118.378584,39.898906,0.0
118.349467,39.886322,0.0
118.359731,39.888521,0.0
118.279143,39.853618,14.5
118.370748,39.816154,0.0
118.403244,39.888670,23.0
118.417220,39.885000,21.0
118.413199,39.860410,0.0
118.450170,39.839127,21.5
118.415103,39.827914,23.5
118.404144,39.829926,7.0
118.505772,39.837272,0.0
118.515660,39.842820,22.5
118.525580,39.840613,0.0
118.537285,39.839329,23.5
118.551827,39.844500,0.0
118.429869,39.892642,0.0
118.455893,39.805422,28.0
118.425165,39.839892,0.0
118.426913,39.851457,0.0
118.551940,39.783890,21.0
119.063748,40.088998,0.0
119.047814,40.009214,0.0
119.066886,40.002878,0.0
119.083688,40.079659,0.0
119.109656,40.006767,0.0
119.109650,40.074370,0.0
119.115061,40.007295,0.0
119.036564,40.054108,5.5
118.971128,39.738594,0.0
119.020153,40.051942,0.0
119.015275,40.010342,0.0
119.114722,40.058333,0.0
119.057328,39.980015,0.0
119.840509,40.051269,0.0
119.031279,39.830897,0.0
118.984822,40.028215,7.0
118.850467,39.855079,0.0
118.970153,39.960678,0.0
118.964732,39.874698,0.0
119.091139,39.945760,0.0
119.030570,39.911832,0.0
119.080718,39.956811,0.0
119.038719,39.969531,0.0
119.052427,39.928929,0.0
119.030505,39.886251,0.0
119.046539,39.880816,0.0
119.030570,39.911832,0.0
119.094726,39.879413,0.0
119.010557,39.872620,0.0
119.046677,39.894010,0.0
119.019988,39.825278,0.0
118.968218,39.782885,0.0
119.043958,39.766747,0.0
119.064243,39.850933,0.0
119.034605,39.822785,0.0
119.120367,39.854885,0.0
115.913578,41.296739,7.0
115.463270,41.735244,6.0
115.706668,41.678359,3.5
115.668621,41.468020,34.0
115.553964,41.644107,3.5
115.706668,41.678359,0.0
115.706668,41.678359,2.0
115.690000,41.648889,0.0
115.735104,41.541589,10.0
115.741389,41.644722,0.0
115.981442,41.378826,0.0
115.950556,41.340556,0.0
115.690714,41.795244,0.0
115.960697,41.863641,5.0
115.684410,41.718980,0.0
115.980278,41.840000,0.0
115.997436,41.804003,4.0
115.963850,41.829005,4.0
115.972500,41.786667,0.0
115.694050,41.416836,6.5
115.804911,41.436599,19.0
115.728400,41.379663,6.5
115.864384,41.557935,3.5
115.928722,41.307966,22.0
115.292571,41.575880,2.0
115.919971,41.475088,27.0
115.824722,41.371944,0.0
115.630101,41.434796,0.0
114.079285,41.366310,0.0
115.507000,41.504000,0.0
114.682353,41.173578,0.0
